ID,Title,Pre-condition,Test Steps,Test Data,Expected Result (ER),
TC_01,Verify that the user is able to login successfully with valid credentials,User is on the login page,"1. Launch browser and navigate to Sauce Demo URL
2. Enter valid username
3. Enter valid password
4. Click on Login button","Username: standard_user
Password: secret_sauce",User is redirected to Products page and inventory items are displayed,
TC_02,Verify that login is denied for locked out user,User is on the login page,"1. Enter Username: locked_out_user
2. Enter Password: secret_sauce
3. Click Login button","Username: locked_out_user
Password: secret_sauce","Error message displayed: ""Sorry, this user has been locked out.""",
TC_03,Verify that login fails with invalid username,User is on the login page,"1. Enter invalid username
2. Enter valid password
3. Click Login","Username: invalid_user
Password: secret_sauce","Error message: ""Epic sadface: Username and password do not match any user in this service""",
TC_04,Verify that login fails with invalid password,User is on the login page,"1. Enter valid username
2. Enter invalid password
3. Click Login","Username: standard_user
Password: wrong_pass","Error message: ""Epic sadface: Username and password do not match any user in this service""",
TC_05,Verify that login fails when username is empty,User is on the login page,"1. Leave username field empty
2. Enter any password
3. Click Login","Username: (empty)
Password: secret_sauce","Error message: ""Epic sadface: Username is required""",
TC_06,Verify that login fails when password is empty,User is on the login page,"1. Enter valid username
2. Leave password field empty
3. Click Login","Username: standard_user
Password: (empty)","Error message: ""Epic sadface: Password is required""",
TC_07,Verify that login fails when both fields are empty,User is on the login page,"1. Leave both username and password empty
2. Click Login","Username: (empty)
Password: (empty)","Error message: ""Epic sadface: Username is required""",
TC_08,Verify error message is displayed for performance glitch user,User is on the login page,"1. Enter Username: performance_glitch_user
2. Enter Password: secret_sauce
3. Click Login","Username: performance_glitch_user
Password: secret_sauce",Login succeeds but page may load slowly or show glitch behavior,
TC_09,Verify UI elements on login page,User is on the login page,"1. Observe login page elements
2. Verify logo, input fields, buttons are visible",N/A,"Sauce Labs logo, Username field, Password field, Login button, Footer text are visible",
TC_10,Verify placeholder text in input fields,User is on the login page,"1. Check username field placeholder
2. Check password field placeholder",N/A,"Username field shows ""Username"", Password field shows ""Password""",
TC_11,Verify Login button is enabled by default,User is on the login page,"1. Load login page
2. Check Login button state",N/A,Login button is enabled and clickable,
TC_12,Verify footer text on login page,User is on the login page,1. Scroll to bottom of login page,N/A,"Footer displays: ""Swag Labs is all about selling the coolest swag...""",
TC_13,Verify social media icons on login page,User is on the login page,"1. Locate social media section
2. Verify Twitter, Facebook, LinkedIn icons",N/A,All three social media icons are visible and clickable,
TC_14,Verify all products are displayed on inventory page,User is logged in successfully,"1. Login with valid credentials
2. Observe product grid","Username: standard_user
Password: secret_sauce","All 6 products are displayed with image, name, description, price, and Add to Cart button",
TC_15,Verify product sort functionality,User is on Products page,"1. Click sort dropdown
2. Select different sort options (Name A-Z, Name Z-A, Price Low-High, Price High-Low)","Sort options: Name (A to Z), Name (Z to A), Price (low to high), Price (high to low)",Products reorder according to selected sort criteria,
TC_16,Verify product details display correctly,User is on Products page,1. Observe each product card,N/A,"Each product shows: Image, Name, Description, Price, Add to Cart button",
TC_17,Verify Add to Cart button changes to Remove after click,User is on Products page,"1. Click ""Add to Cart"" for any product
2. Observe button text change",Any product,"Button text changes from ""Add to Cart"" to ""Remove""",
TC_18,Verify cart badge count increments on adding product,User is on Products page,"1. Click Add to Cart for a product
2. Check cart icon badge",N/A,"Cart badge shows ""1"" after adding one item",
TC_19,Verify cart badge count decrements on removing product,User has items in cart,"1. Click ""Remove"" for an item in cart
2. Check cart badge",N/A,Cart badge count decreases by 1,
TC_20,Verify navigation to cart page,User has items in cart,1. Click cart icon in header,N/A,User is redirected to Cart page showing added items,
TC_21,Verify product quantity can be updated in cart,User is on Cart page,"1. Change quantity dropdown for an item
2. Observe price update","Quantity: 1, 2, 3...",Total price updates according to quantity selected,
TC_22,Verify Remove button works in cart page,User is on Cart page with items,"1. Click Remove button for any item
2. Verify item disappears from list",N/A,Item is removed from cart and badge count updates,
TC_23,Verify Continue Shopping button navigates back to products,User is on Cart page,"1. Click ""Continue Shopping"" button",N/A,User is redirected back to Products/Inventory page,
TC_24,Verify Checkout button is enabled when cart has items,User has items in cart,"1. Navigate to Cart page
2. Check Checkout button state",N/A,Checkout button is enabled and clickable,
TC_25,Verify Checkout button is disabled when cart is empty,User has empty cart,"1. Navigate to Cart page with no items
2. Check Checkout button",N/A,Checkout button is disabled or not visible,
TC_26,Verify Checkout: Information page loads correctly,User has items in cart and clicks Checkout,"1. Add item to cart
2. Click Checkout button",N/A,"User is redirected to Checkout: Your Information page with First Name, Last Name, Postal Code fields",
TC_27,Verify Checkout fails when First Name is empty,User is on Checkout: Information page,"1. Leave First Name empty
2. Fill Last Name and Postal Code
3. Click Continue","First Name: (empty)
Last Name: Doe
Postal Code: 12345","Error message: ""Error: First Name is required""",
TC_28,Verify Checkout fails when Last Name is empty,User is on Checkout: Information page,"1. Fill First Name
2. Leave Last Name empty
3. Fill Postal Code
4. Click Continue","First Name: John
Last Name: (empty)
Postal Code: 12345","Error message: ""Error: Last Name is required""",
TC_29,Verify Checkout fails when Postal Code is empty,User is on Checkout: Information page,"1. Fill First Name and Last Name
2. Leave Postal Code empty
3. Click Continue","First Name: John
Last Name: Doe
Postal Code: (empty)","Error message: ""Error: Postal Code is required""",
TC_30,Verify Checkout succeeds with valid information,User is on Checkout: Information page,"1. Enter valid First Name, Last Name, Postal Code
2. Click Continue","First Name: John
Last Name: Doe
Postal Code: 12345",User is redirected to Checkout: Overview page showing order summary,
TC_31,Verify order summary displays correct items and total,User is on Checkout: Overview page,1. Review order summary section,N/A,"Page shows: Item list, Quantity, Price, Tax, Total amount correctly calculated",
